pitch_type,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,events,description,zone,stand,p_throws,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,4/8/2024,80.0,-2.11,5.45,668800,668874,field_out,hit_into_play,3.0,R,R,X,4.0,popup,1,2,1.43,-0.77,0.49,2.94,,669701.0,665120.0,0,1,Bot,154.04,148.54,3.014039217,-116.2720552,2.777773762,12.21472897,25.08361953,-39.95054495,3.14,1.46,143.0,74.3,63.0,79.5,3219.0,6.4,745034,54.13,0.011,0.012,0.0,1.0,0.0,0.0,3.0,15,4,Curveball,5,2,5,2,2,5,5,2,Infield shade,Standard,53.0,-0.025,-0.344,72.9,6.8,0.015,0.344,88.0,3,3,0.858,0.858,27,29,27,29,1,0,,8.0,,3.0,4.39,-1.43,-1.43,35.7
CU,4/8/2024,79.5,-2.16,5.39,668800,668874,,called_strike,9.0,R,R,S,,,1,1,1.41,-1.18,0.36,1.79,,669701.0,665120.0,0,1,Bot,,,2.912328137,-115.5678492,1.259293564,11.7579724,25.86789593,-43.15889459,3.35,1.53,,,,79.4,3163.0,6.8,745034,53.75,,,,,,,,15,3,Curveball,5,2,5,2,2,5,5,2,Infield shade,Standard,41.0,0.0,-0.14,,,,0.14,,3,3,0.858,0.858,27,29,27,29,1,0,,8.0,,3.0,4.86,-1.41,-1.41,33.6
FF,4/8/2024,91.9,-2.22,5.29,668800,668874,,called_strike,7.0,R,R,S,,,1,0,-0.97,0.74,-0.35,1.75,,669701.0,665120.0,0,1,Bot,,,6.878341783,-133.6442742,-4.762930439,-13.04497135,27.43761141,-22.49349322,3.2,1.46,,,,92.7,1941.0,6.7,745034,53.83,,,,,,,,15,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,243.0,0.0,-0.112,,,,0.112,,3,3,0.858,0.858,27,29,27,29,1,0,,8.0,,3.0,1.95,0.97,0.97,28.4
FC,4/8/2024,88.5,-2.21,5.39,668800,668874,,ball,12.0,R,R,B,,,0,0,-0.32,0.35,2.06,2.95,,669701.0,665120.0,0,1,Bot,,,11.15891041,-128.331185,-0.482917681,-6.132177875,30.40175521,-28.49013235,3.35,1.51,,,,88.5,2269.0,6.8,745034,53.67,,,,,,,,15,1,Cutter,5,2,5,2,2,5,5,2,Standard,Standard,272.0,0.0,0.092,,,,-0.092,,3,3,0.858,0.858,27,29,27,29,1,0,,8.0,,3.0,2.62,0.32,0.32,30.6
FF,4/8/2024,92.6,-3.4,4.89,668800,605463,field_out,hit_into_play,11.0,R,R,X,8.0,fly_ball,0,0,-1.23,0.9,-0.39,3.3,,,665120.0,0,6,Bot,111.88,81.74,10.31979729,-134.5117877,-0.16696374,-17.19113316,30.68816165,-21.50742533,3.14,1.46,294.0,97.8,48.0,92.1,2158.0,6.2,745034,54.29,0.011,0.015,0.0,1.0,0.0,0.0,3.0,58,1,4-Seam Fastball,5,10,5,10,10,5,5,10,Standard,Standard,240.0,-0.02,-0.369,72.2,6.9,0.028,0.369,97.8,-5,-5,0.071,0.071,32,29,32,29,1,2,2.0,8.0,2.0,3.0,1.78,1.23,1.23,17.5
FF,4/8/2024,89.9,-2.41,4.25,668800,661527,field_out,hit_into_play,6.0,R,R,X,9.0,fly_ball,0,1,-0.9,0.75,0.69,2.46,,,,2,3,Bot,202.12,126.3,9.694447428,-130.6577733,-0.046281873,-12.31708466,26.11478409,-23.77539793,3.14,1.46,260.0,83.7,37.0,91.0,2129.0,6.9,745034,53.61,0.006,0.005,0.0,1.0,0.0,0.0,3.0,32,2,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,234.0,-0.009,-0.083,72.8,7.1,0.006,0.083,88.0,1,1,0.638,0.638,29,29,30,29,1,1,3.0,8.0,3.0,3.0,2.07,0.9,0.9,9.3
ST,4/8/2024,79.1,-2.57,4.35,668800,661527,,called_strike,6.0,R,R,S,,,0,0,1.04,0.49,0.73,2.16,,,,2,3,Bot,,,5.378681169,-115.0870088,1.170038407,8.146755822,22.23100465,-28.25545427,3.16,1.47,,,,80.7,2503.0,7.5,745034,53.04,,,,,,,,32,1,Sweeper,5,4,5,4,4,5,5,4,Standard,Standard,91.0,0.0,-0.016,,,,0.016,,1,1,0.638,0.638,29,29,30,29,1,1,3.0,8.0,3.0,3.0,3.16,-1.04,-1.04,17.4
CH,4/8/2024,87.0,-1.14,6.07,668800,656232,field_out,hit_into_play,5.0,R,R,X,5.0,ground_ball,1,1,-1.25,0.68,-0.14,2.47,,,669701.0,2,8,Bot,103.35,167.8,4.878196141,-126.6527872,-3.810628493,-14.50249949,26.76187711,-24.24952824,3.14,1.46,31.0,88.3,-3.0,85.4,2169.0,5.3,745034,55.17,0.229,0.189,0.0,1.0,0.0,0.0,2.0,73,3,Changeup,5,10,5,10,10,5,5,10,Standard,Standard,230.0,-0.005,-0.216,74.9,7.7,0.276,0.216,88.3,-5,-5,0.01,0.01,28,29,28,29,1,3,3.0,8.0,2.0,3.0,2.33,1.25,1.25,41.0
SL,4/8/2024,82.9,-1.08,6.16,668800,656232,,ball,14.0,R,R,B,,,0,1,0.93,-0.37,1.16,1.5,,,669701.0,2,8,Bot,,,3.246747451,-120.5945521,-3.303074768,8.28707814,26.7573104,-35.30114356,3.37,1.57,,,,81.0,2556.0,5.3,745034,55.19,,,,,,,,73,2,Slider,5,10,5,10,10,5,5,10,Standard,Standard,34.0,0.0,0.027,,,,-0.027,,-5,-5,0.01,0.01,28,29,28,29,1,3,3.0,8.0,2.0,3.0,3.73,-0.93,-0.93,45.4
SL,4/8/2024,83.7,-1.07,6.2,668800,656232,,called_strike,12.0,R,R,S,,,0,0,0.84,-0.4,0.87,2.49,,,669701.0,2,8,Bot,,,2.765962295,-121.7663165,-1.277672187,7.691546722,26.61852299,-36.10815236,3.39,1.58,,,,81.9,2591.0,5.3,745034,55.18,,,,,,,,73,1,Slider,5,10,5,10,10,5,5,10,Standard,Standard,41.0,0.0,-0.039,,,,0.039,,-5,-5,0.01,0.01,28,29,28,29,1,3,3.0,8.0,2.0,3.0,3.69,-0.84,-0.84,46.6
