pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2024-06-28,88.8,1.34,5.25,"Wong, Connor",657136,656354,field_out,hit_into_play,1.0,Connor Wong pops out to second baseman Jake Cronenworth.,R,L,BOS,SD,X,4.0,popup,3,1,-0.32,0.66,-0.51,2.82,,,807799.0,2,8,Bot,148.97,154.62,543309,,-3.88583781684404,-129.500073812285,-1.38940213424097,-2.9542186695834,23.1024705318487,-24.6109103546694,3.22,1.34,134.0,77.2,67.0,89.9,2788.0,6.5,746939,650333,630105,592518,673490,642180,701538,669369,54.0,0.003,0.003,0.0,1.0,0.0,0.0,3.0,73,5,2,9,2,9,9,2,2,9,Standard,Standard,194.0,-0.001,-0.331,68.7576037943734,7.12099
FC,2024-06-28,89.8,1.33,5.27,"Wong, Connor",657136,656354,,ball,13.0,Connor Wong pops out to second baseman Jake Cronenworth.,R,L,BOS,SD,B,,,2,1,-0.24,0.87,-1.69,1.79,,,807799.0,2,8,Bot,,,543309,,-6.98896771254495,-130.689805293903,-4.6063796410268,-1.59721975981457,22.2884744537709,-21.3648595609338,3.32,1.39,,,,90.9,2757.0,6.5,746939,650333,630105,592518,673490,642180,701538,669369,53.96,,,,,,,,73,4,2,9,2,9,9,2,2,9,Standard,Standard,164.0,0.0,0.065,,
FC,2024-06-28,89.5,1.44,5.27,"Wong, Connor",657136,656354,,ball,12.0,Connor Wong pops out to second baseman Jake Cronenworth.,R,L,BOS,SD,B,,,1,1,-0.21,0.72,0.5,3.82,,,807799.0,2,8,Bot,,,543309,,-1.89179886828081,-130.523759707489,0.818078412267961,-2.02896113254385,24.5656738422804,-24.1836414103184,3.4,1.44,,,,90.1,2698.0,6.3,746939,650333,630105,592518,673490,642180,701538,669369,54.19,,,,,,,,73,3,2,9,2,9,9,2,2,9,Standard,Standard,173.0,0.0,0.052,,
ST,2024-06-28,81.8,1.61,5.22,"Wong, Connor",657136,656354,,called_strike,5.0,Connor Wong pops out to second baseman Jake Cronenworth.,R,L,BOS,SD,S,,,1,0,-1.51,0.21,-0.05,2.72,,,807799.0,2,8,Bot,,,543309,,-0.818032014033357,-119.135610517975,0.578627477327785,-14.0908698121985,25.1511195178264,-30.5698259420245,3.41,1.38,,,,81.5,2686.0,6.3,746939,650333,630105,592518,673490,642180,701538,669369,54.25,,,,,,,,73,2,2,9,2,9,9,2,2,9,Standard,Standard,286.0,0.0,-0.039,,
SI,2024-06-28,91.2,1.39,5.25,"Wong, Connor",657136,656354,,ball,12.0,Connor Wong pops out to second baseman Jake Cronenworth.,R,L,BOS,SD,B,,,0,0,1.17,0.88,1.28,2.56,,,807799.0,2,8,Bot,,,543309,,-2.78644087311326,-132.80438040429,-2.77228446869494,14.4345816393325,28.7379091441171,-21.3268382245327,3.45,1.35,,,,91.2,2407.0,6.3,746939,650333,630105,592518,673490,642180,701538,669369,54.21,,,,,,,,73,1,2,9,2,9,9,2,2,9,Standard,Standard,142.0,0.0,0.025,,
SI,2024-06-28,92.1,1.24,5.24,"Yoshida, Masataka",807799,656354,walk,ball,13.0,Masataka Yoshida walks.,L,L,BOS,SD,B,,,3,1,1.22,0.79,-1.08,2.16,,,,2,8,Bot,,,543309,,-8.57545873254254,-133.926766407675,-3.72485643629503,16.4528797882901,27.7538172165804,-22.0237013910297,3.25,1.32,,,,92.6,2361.0,6.6,746939,650333,630105,592518,673490,642180,701538,669369,53.95,,0.691353,0.7,1.0,0.0,0.0,,72,5,2,9,2,9,9,2,2,9,Strategic,Standard,133.0,0.001,0.07,,
FC,2024-06-28,87.7,1.55,5.19,"Yoshida, Masataka",807799,656354,,ball,14.0,Masataka Yoshida walks.,L,L,BOS,SD,B,,,2,1,-0.21,0.7,0.85,2.03,,,,2,8,Bot,,,543309,,-1.25917225940452,-127.875965463623,-3.07107315730687,-2.09191898678636,22.9335196206291,-24.0067191228779,3.21,1.29,,,,88.5,2664.0,6.4,746939,650333,630105,592518,673490,642180,701538,669369,54.14,,,,,,,,72,4,2,9,2,9,9,2,2,9,Strategic,Standard,182.0,0.0,0.045,,
SI,2024-06-28,92.4,1.29,5.31,"Yoshida, Masataka",807799,656354,,called_strike,6.0,Masataka Yoshida walks.,L,L,BOS,SD,S,,,2,0,1.15,0.78,0.53,2.7,,,,2,8,Bot,,,543309,,-4.46190885234634,-134.51968131074,-2.54194099067252,14.9605621126642,28.7480971779396,-22.4071424612203,3.27,1.46,,,,92.7,2396.0,6.4,746939,650333,630105,592518,673490,642180,701538,669369,54.07,,,,,,,,72,3,2,9,2,9,9,2,2,9,Standard,Standard,136.0,0.0,-0.021,,
FC,2024-06-28,89.2,1.37,5.2,"Yoshida, Masataka",807799,656354,,ball,13.0,Masataka Yoshida walks.,L,L,BOS,SD,B,,,1,0,0.11,1.1,-0.97,2.12,,,,2,8,Bot,,,543309,,-5.99651791027889,-129.94095550576,-3.9755924490202,2.34293753291749,23.2398785285978,-19.0241596090242,3.24,1.29,,,,89.9,2601.0,6.3,746939,650333,630105,592518,673490,642180,701538,669369,54.19,,,,,,,,72,2,2,9,2,9,9,2,2,9,Standard,Standard,150.0,0.0,0.025,,
SI,2024-06-28,92.8,1.19,5.26,"Yoshida, Masataka",807799,656354,,ball,13.0,Masataka Yoshida walks.,L,L,BOS,SD,B,,,0,0,1.28,0.76,-2.02,1.84,,,,2,8,Bot,,,543309,,-10.9954537180157,-134.712787493387,-4.6390680335189,17.8745143327701,27.6081803856702,-22.098105998166,3.3,1.38,,,,93.0,2380.0,6.4,746939,650333,630105,592518,673490,642180,701538,669369,54.11,,,,,,,,72,1,2,9,2,9,9,2,2,9,Standard,Standard,135.0,0.0,0.014,,
